DOMAIN,NAME,COUNTRY,LANGUAGE,NOTES
dn.se,Dagens Nyheter,se,sv,
di.se,Dagens Industri,se,sv,
gp.se,Göteborgs-Posten ,se,sv,
svd.se,Svenska Dagbladet,se,sv,
allehanda.se,Allehanda,se,sv, (large newspaper with several small local areas represented)
dt.se,Dalarnas Tidningar,se,sv, (larger grouping of local communities)
arbetarbladet.se,Arbetarbladet,se,sv,
sydsvenskan.se,Sydsvenskan,se,sv,
dagen.se,Dagen,se,sv,
aftonbladet.se,Aftonbladet,se,sv,
expressen.se,Expressen,se,sv,
metro.se,Metro,se,sv,
hd.se,Helsingborgs Dagblad,se,sv,
na.se,Nerikes Allehanda (NA),se,sv,
nsd.se/nyheter,Norrländska Socialdemokraten (NSD),se,sv,
nwt.se,Nya Wermlands-Tidningen (NWT),se,sv,
ttela.se,TTELA,se,sv,
vk.se,Vasterbottens-Kuriren,se,sv,
corren.se/nyheter,Östgöta Correspondenten,se,sv,
folkbladet.nu,Folkbladet,se,sv,
dalademokraten.se,Dala-Demokraten,se,sv,
bt.se,Borås Tidning,se,sv,
hallandsposten.se,Hallandsposten,se,sv,
hn.se,Hallands Nyheter,se,sv,
helahalsingland.se,Helahälsingland,se,sv,
barometern.se,Barometern,se,sv,
bohuslaningen.se,Bohusläningen ,se,sv,
gd.se,Gefle Dagblad ,se,sv,
helagotland.se/start,Gotlands Tidningar,se,sv,
jp.se,Jönköpings-Posten,se,sv,
kt.se,Karlstads-Tidningen ,se,sv,
kristianstadsbladet.se,Kristianstadsbladet,se,sv,
skd.se,Skånska Dagbladet ,se,sv,
nsk.se,Norra Skåne ,se,sv,
norran.se,Norra Västerbotten ,se,sv,
kuriren.nu/nyheter,Norrbottens-Kuriren ,se,sv,
ostrasmaland.se,Östra Småland ,se,sv,
op.se,Östersunds-Posten,se,sv,
vt.se/nyheter,Västerviks-Tidningen,se,sv,
vf.se,Värmlands Folkblad ,se,sv,
vlt.se,Vestmanlands Läns Tidning ,se,sv,
unt.se/nyheter,Upsala Nya Tidning ,se,sv,
st.nu,Sundsvalls Tidning,se,sv,
nt.se/nyheter,Norrköpings Tidningar ,se,sv,
smp.se,Smålandsposten ,se,sv,
ostnyland.fi,Östra Nyland / Borgåbladet,fi,sv,
hbl.fi,Hufvudstadsbladet,fi,sv,
nyan.ax,Nya Åland ,fi,sv,
sydin.fi,Syd-Österbotten,fi,sv,
vasabladet.fi,Vasabladet,fi,sv,
vastranyland.fi,Västra Nyland,fi,sv,
m.alandstidningen.ax,Ålandstidningen ,fi,sv,
osterbottenstidning.fi,Österbottens Tidning ,fi,sv,
vg.no,VG,no,no,
aftenposten.no,Aftenposten,no,no,
dagbladet.no,Dagbladet,no,no,
bt.no,Bergens Tidende,no,no,
bondebladet.no,Bondebladet,no,no,
dn.no,Dagens Næringsliv,no,no,
adressa.no,"Adresseavisen (""Adressa"")",no,no,
ostkantavisa.no,Østkantavisa,no,no,
aftenbladet.no,Stavanger Aftenblad,no,no,
fvn.no,Fædrelandsvennen,no,no,
dt.no,Drammens Tidende,no,no,
rb.no,Romerikes Blad,no,no,
smp.no,Sunnmørsposten,no,no,
